id	name	location	date
1	1950 British Grand Prix	Silverstone Circuit, Silverstone, England	1950-05-13
2	1950 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1950-05-21
3	1950 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1950-05-30
4	1950 Swiss Grand Prix	Bremgarten Circuit, Bern, Switzerland	1950-06-04
5	1950 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1950-06-18
6	1950 French Grand Prix	Reims-Gueux Circuit, Gueux, France	1950-07-02
7	1950 Italian Grand Prix	Autodromo Nazionale di Monza, Monza, Italy	1950-09-03
8	1951 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1951-06-27
9	1951 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1951-05-30
10	1951 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1951-07-18
11	1951 French Grand Prix	Reims-Gueux Circuit, Reims, France	1951-07-01
12	1951 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1951-07-14
13	1951 German Grand Prix	Nürburgring, Nürburg, Germany	1951-07-29
14	1951 Italian Grand Prix	Circuito di Monza, Monza, Italy	1951-09-16
15	1951 Spanish Grand Prix	Pedralbes Circuit, Barcelona, Spain	1951-10-28
16	1952 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1952-06-22
17	1952 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1952-05-30
18	1952 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1952-06-22
19	1952 French Grand Prix	Rouen-Les-Essarts Circuit, Rouen, France	1952-07-06
20	1952 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1952-07-19
21	1952 German Grand Prix	Nürburgring, Nürburg, Germany	1952-08-03
22	1952 Dutch Grand Prix	Zandvoort Circuit, Zandvoort, Netherlands	1952-08-17
23	1952 Italian Grand Prix	Circuito di Monza, Monza, Italy	1952-09-07
24	1953 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1953-01-18
25	1953 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1953-05-30
26	1953 Dutch Grand Prix	Zandvoort Circuit, Zandvoort, Netherlands	1953-06-07
27	1953 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1953-06-21
28	1953 French Grand Prix	Reims-Gueux Circuit, Reims, France	1953-07-05
29	1953 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1953-07-18
30	1953 German Grand Prix	Nürburgring, Nürburg, Germany	1953-08-02
31	1953 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1953-08-23
32	1953 Italian Grand Prix	Circuito di Monza, Monza, Italy	1953-09-13
33	1954 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1954-01-17
34	1954 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1954-05-31
35	1954 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1954-06-20
36	1954 French Grand Prix	Reims-Gueux Circuit, Reims, France	1954-07-04
37	1954 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1954-07-17
38	1954 German Grand Prix	Nürburgring, Nürburg, Germany	1954-08-01
39	1954 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1954-08-22
40	1954 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1954-09-05
41	1954 Spanish Grand Prix	Pedralbes Circuit, Barcelona, Spain	1954-10-24
42	1955 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1955-01-16
43	1955 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1955-05-22
44	1955 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1955-05-30
45	1955 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1955-06-05
