Team Name	Nationality
Alfa Romeo-Sauber	Switzerland
AlphaTauri	Italy
Alpine F1 Team	France
Arrows	Great Britain
AGS	France
Andrea Moda	Italy
ATS	Italy
Aston Martin	Great Britain
Benetton	Italy
BMW Sauber	Switzerland
Brabham	Great Britain
Brawn GP	Great Britain
BRM	Great Britain
Caterham F1 Team	Malaysia
Connaught	Great Britain
Cooper	Great Britain
DAMS	France
De Tomaso	Italy
Eifelland	Germany
EMKA	Germany
Ensign	Great Britain
Ferrari	Italy
Force India	India
Footwork	Great Britain
Haas F1 Team	United States
Hesketh	Great Britain
HRT	Spain
Honda	Japan
Jordan	Ireland
Ken Tyrrell Racing	Great Britain
Life Racing	Italy
Lola	Great Britain
Lotus	Great Britain
Manor Motorsport	Great Britain
Marussia F1 Team	Russia
McLaren	Great Britain
Mercedes	Germany
Minardi	Italy
OSCA	Italy
Onyx	Great Britain
Porsche	Germany
Prost Grand Prix	France
RAM	Great Britain
Red Bull	Austria
Renault	France
Sauber	Switzerland
Scuderia Italia	Italy
Shadow	Great Britain
Simtek	Great Britain
Spirit	Great Britain
Spyker F1 Team	Netherlands
Stewart	Great Britain
Super Aguri	Japan
Surtees	Great Britain
Talbot	Great Britain
Tecno	Italy
Theodore Racing	Hong Kong
Toleman	Great Britain
Toro Rosso	Italy
Toyota	Japan
Vanwall	Great Britain
Virgin Racing	Russia
Williams	Great Britain
Wolf	Canada
Zakspeed	Germany
